Name,First Name,Last Name,Sex,SSN,DOB,Birthday,Age,Zip,Education,Marital Status,Occupation,Salary
Jason Ortiz,Jason,Ortiz,Male,239-62-5065,12/24/65,12/24,58,55813,Bachelors degree,Widowed,Engineer/ production,Under 25k
Anna Brown,Anna,Brown,Female,860-48-3325,03/21/99,03/21,25,25593,Bachelors degree,Never married,Systems developer,100k to 200k
Kevin Anderson,Kevin,Anderson,Male,176-24-2913,05/11/67,05/11,57,29066,No degree,Never married,Equities trader,50k to 100k
Patricia Clarke,Patricia,Clarke,Female,384-30-3488,12/23/76,12/23,47,81645,High school/GED,Divorce,Restaurant manager,50k to 100k
Robert Watson,Robert,Watson,Male,066-16-3817,04/08/01,04/08,23,27301,No degree,Married,Facilities manager,25k to 50k
Joseph Carrillo,Joseph,Carrillo,Male,426-75-3893,12/23/88,12/23,35,60983,Masters degree,Never married,Designer/ multimedia,100k to 200k
Molly Rodriguez,Molly,Rodriguez,Female,610-28-1657,07/24/88,07/24,36,83909,Bachelors degree,Married,Theatre director,Under 25k
Kenneth Smith,Kenneth,Smith,Male,521-01-8305,04/14/02,04/14,22,90525,High school/GED,Never married,Oceanographer,50k to 100k
Andrea Hale,Andrea,Hale,Female,586-74-2173,10/27/97,10/27,26,16072,Associate degree,Never married,Solicitor,50k to 100k
Tamara Reyes,Tamara,Reyes,Female,034-40-4605,11/04/93,11/04,30,17275,High school/GED,Married,Adult nurse,25k to 50k
Joshua Greene,Joshua,Greene,Male,212-13-0472,07/13/87,07/13,37,82220,High school/GED,Divorce,Therapist/ nutritional,100k to 200k
Christopher Leonard,Christopher,Leonard,Male,428-64-2177,12/17/01,12/17,22,89845,No degree,Never married,Hospital doctor,Under 25k
Mary Evans,Mary,Evans,Female,834-46-4739,03/28/66,03/28,58,18830,Some college,Never married,Customer service manager,50k to 100k
Amanda Parker,Amanda,Parker,Female,746-72-2636,02/27/99,02/27,25,47910,Bachelors degree,Never married,Legal executive,25k to 50k
Grace Blair,Grace,Blair,Female,758-87-4026,09/30/95,09/30,28,77516,Some college,Married,Interpreter,25k to 50k
Timothy Graham,Timothy,Graham,Male,433-99-7492,03/13/98,03/13,26,17564,No degree,Never married,Computer games developer,Over 200k
Alyssa Hill,Alyssa,Hill,Female,859-29-4249,01/04/73,01/04,51,05502,Masters degree,Married,Surveyor/ mining,100k to 200k
Andrew Patterson,Andrew,Patterson,Male,692-44-2868,03/05/00,03/05,24,04238,High school/GED,Married,Software engineer,25k to 50k
James Mays,James,Mays,Male,419-37-9987,04/29/94,04/29,30,85187,Some college,Married,Geophysical data processor,Under 25k
Michele Maynard,Michele,Maynard,Female,526-55-3028,01/11/74,01/11,50,33843,Bachelors degree,Married,Chemist/ analytical,50k to 100k
Lawrence Wolf,Lawrence,Wolf,Male,675-14-2075,07/21/71,07/21,53,98714,Some college,Married,Librarian/ academic,100k to 200k
David Hall,David,Hall,Male,657-64-7540,03/13/71,03/13,53,18399,Masters degree,Married,Teacher/ English as a foreign language,50k to 100k
Casey Carpenter,Casey,Carpenter,Female,803-79-4135,01/08/80,01/08,44,77992,Doctorate,Never married,Proofreader,Under 25k
Clayton Kelly,Clayton,Kelly,Male,467-85-9242,09/08/95,09/08,29,55194,High school/GED,Never married,Computer games developer,100k to 200k
Cassie Rodriguez,Cassie,Rodriguez,Female,801-45-4361,01/08/73,01/08,51,63225,High school/GED,Widowed,Site engineer,50k to 100k
Sarah Carrillo,Sarah,Carrillo,Female,015-42-7709,08/04/94,08/04,30,89966,No degree,Married,Administrator/ local government,50k to 100k
Joseph Nelson,Joseph,Nelson,Male,780-43-4627,07/26/96,07/26,28,78171,Masters degree,Married,Financial controller,50k to 100k
Stefanie Lewis,Stefanie,Lewis,Female,568-68-8715,09/26/81,09/26,42,84335,No degree,Married,Stage manager,100k to 200k
Tiffany Lewis,Tiffany,Lewis,Female,222-08-4870,01/26/99,01/26,25,32482,Associate degree,Married,Clothing/textile technologist,50k to 100k
Nancy Foley,Nancy,Foley,Female,473-55-5696,10/31/66,10/31,57,34238,High school/GED,Married,Actor,25k to 50k
